id,y
1,77.314125
2,91.482155
3,77.95186
4,77.88181
5,112.67181
8,87.679985
10,109.738434
11,91.82158
12,116.30736
14,98.09928
15,117.07776
16,107.53179
17,101.12605
19,90.49889
20,102.24637
21,100.7498
22,116.905594
23,94.04038
26,95.359406
28,94.16098
29,94.04038
33,94.04038
35,96.60337
41,95.60517
42,89.51815
43,110.663574
45,98.976364
46,99.435715
51,91.87154
53,77.230286
55,112.17149
56,91.67464
57,107.27461
58,94.902756
59,100.48346
63,110.26538
64,93.46466
65,107.71231
69,98.67051
71,98.88274
72,100.97327
73,98.16975
76,106.857376
77,99.276146
78,117.99056
82,97.327736
83,107.71231
84,90.69984
85,100.92003
87,116.5908
88,95.60517
89,117.18431
91,96.18727
93,96.49975
94,109.03834
95,86.87863
96,111.56069
97,90.40991
98,109.28379
99,98.82255
101,101.72904
103,117.18431
104,92.203804
105,109.42561
110,90.69821
111,110.00749
113,108.94765
114,91.11284
115,109.43639
117,117.18431
120,96.55612
121,107.09376
122,91.22318
123,116.409966
126,110.53395
132,118.26462
135,105.178696
137,102.84804
138,93.57609
140,91.87793
142,114.40287
144,108.73985
148,88.79786
149,121.458694
155,99.9064
156,107.46924
157,90.40991
162,109.15388
163,102.507095
167,96.90499
172,110.663574
179,109.472664
180,92.11527
181,108.54483
182,93.12853
183,117.18431
185,117.18431
187,114.13477
188,92.30689
189,92.10788
191,90.10288
192,103.54275
193,92.880356
194,109.1169
195,95.307236
196,115.757835
198,91.2417
199,108.71809
201,106.30388
204,94.80603
205,109.46935
206,92.80816
210,92.225235
211,101.72904
216,108.8872
219,115.9193
220,97.465324
221,112.667786
226,108.54483
227,88.35811
228,110.948265
230,109.68783
231,90.40991
235,122.87554
236,99.796165
238,111.43773
242,106.12012
243,89.94725
244,81.20487
245,111.01087
247,111.167366
248,94.61026
249,88.752975
250,113.929596
251,99.796165
253,122.87554
254,96.68803
256,100.98122
257,91.80211
258,117.045425
259,97.48379
262,89.22555
266,92.08032
267,119.72789
272,101.58161
273,117.18431
275,91.132355
276,109.67141
279,92.764175
280,107.71231
283,93.36386
285,110.907364
288,117.18431
289,101.52091
290,104.848564
291,93.121765
292,111.74923
293,108.7002
296,96.55419
297,111.13478
298,117.110504
299,94.61215
304,91.908905
305,93.814896
306,91.22813
307,107.48576
311,113.58891
313,113.79917
314,89.83408
316,95.16094
324,96.131615
327,97.23744
329,95.21155
330,110.55494
337,100.969574
338,91.35339
339,102.182915
340,90.98889
343,87.131256
345,116.64982
346,95.005684
347,112.43623
349,105.817375
350,102.48902
352,114.87437
353,87.55449
354,78.87682
357,92.64052
358,107.66926
362,119.98114
364,110.85569
365,101.60844
366,91.90561
367,110.129715
368,92.35741
370,80.295494
373,96.42705
377,94.10048
378,108.38992
382,106.66725
384,111.75453
390,87.004425
392,110.236496
393,113.132195
395,91.95472
396,101.156075
399,77.21772
406,113.79917
408,113.79917
409,91.93868
410,77.91072
412,117.61548
413,84.553696
419,93.13336
420,110.284
421,86.75745
430,104.520905
434,91.0661
436,93.63729
437,85.610794
438,100.64819
439,116.77043
440,89.922516
443,110.75312
446,95.603584
448,95.10536
452,89.58749
453,103.71328
457,104.47929
458,92.91189
459,118.39675
460,101.61299
462,108.40152
464,100.63286
465,117.1643
467,112.98353
471,115.65216
472,80.18961
473,92.98236
475,90.20497
480,90.70819
488,111.14805
490,107.48576
491,101.57574
492,77.95186
493,92.2759
497,88.01347
498,109.88852
499,91.13078
500,99.279785
501,92.46564
502,109.751144
506,77.69837
510,108.789665
511,98.706375
512,92.693306
516,87.572815
518,90.47327
519,109.87164
521,94.7779
522,112.028725
526,120.21472
529,91.892365
532,112.36914
533,95.44994
536,110.149414
537,92.17229
539,92.11237
